0,0,0,0,0,XXXX-XX-XX-to-XXXX-XX-XX
1,72625,38911,0,0,2020-02-13
2,250485,119030,223058,105967,2020-02-14
3,203412,92088,148476,67713,2020-02-15
4,187349,78387,136125,55110,2020-02-16
5,162667,64674,115530,43205,2020-02-17
6,180686,63610,136133,43946,2020-02-18
7,167872,59608,115499,38134,2020-02-19
8,150184,53601,100563,32551,2020-02-20
9,145697,49608,98903,30156,2020-02-21
10,157519,52648,113910,34808,2020-02-22
11,158507,53749,111564,34402,2020-02-23
12,152256,49155,106132,30167,2020-02-24
13,144930,46279,99538,27882,2020-02-25
14,145763,44915,102020,27127,2020-02-26
