0,0,0,0,0,XXXX-XX-XX-to-XXXX-XX-XX
1,726755,139708,0,0,2018-05-07
2,625708,154244,441123,119762,2018-05-08
3,440073,127163,274453,86098,2018-05-09
4,361074,110395,220525,70970,2018-05-10
5,318204,105384,190527,66223,2018-05-11
6,306759,96466,186769,58862,2018-05-12
7,296701,94634,178738,58096,2018-05-13
8,318275,102946,200537,66862,2018-05-14
9,269668,90381,152847,53622,2018-05-15
10,235884,83624,128803,48128,2018-05-16
11,215534,75405,115423,41023,2018-05-17
12,200536,74988,106309,42250,2018-05-18
13,200271,73407,112683,41883,2018-05-19
14,198364,72104,113494,40879,2018-05-20
15,100263,36438,36737,13913,2018-05-21
