0,0,0,0,0,XXXX-XX-XX-to-XXXX-XX-XX
1,109384,37488,0,0,2018-06-29
2,160762,45805,135478,36986,2018-06-30
3,142239,31969,113596,22482,2018-07-01
4,139275,27249,113055,18648,2018-07-02
5,130486,25508,103762,16903,2018-07-03
6,119711,24186,93576,15765,2018-07-04
7,103801,19886,78918,11785,2018-07-05
8,94592,18216,71390,10840,2018-07-06
9,109569,18449,87320,11685,2018-07-07
10,58687,12305,39688,6170,2018-07-08
11,104972,16962,89155,12190,2018-07-09
12,103429,15357,82537,9053,2018-07-10
13,96233,15805,76364,9659,2018-07-11
14,130578,15477,111211,9424,2018-07-12
15,122267,15464,102470,9625,2018-07-13
16,88449,14988,69226,9277,2018-07-14
17,92045,16455,73677,10865,2018-07-15
18,116888,15570,97311,9707,2018-07-16
19,118482,15510,98725,9718,2018-07-17
20,128288,14062,108631,8532,2018-07-18
21,126186,14051,106420,8627,2018-07-19
22,108505,14253,88819,8815,2018-07-20
23,143152,14532,123453,9308,2018-07-21
24,138223,14876,117736,9605,2018-07-22
25,139439,14189,119034,9051,2018-07-23
26,237900,14366,217025,9220,2018-07-24
27,167981,15239,147468,10049,2018-07-25
28,170924,13552,150653,8649,2018-07-26
