0,0,0,0,0,XXXX-XX-XX-to-XXXX-XX-XX
1,52799,20040,0,0,2018-09-14
2,39206,15696,28544,12138,2018-09-15
3,34997,15142,25593,11186,2018-09-16
4,33359,15265,24088,11146,2018-09-17
5,128711,12817,119971,8641,2018-09-18
6,197659,11727,178603,7838,2018-09-19
7,213461,10318,185854,6671,2018-09-20
8,207623,9746,178416,6406,2018-09-21
9,155684,10930,132600,7938,2018-09-22
10,146603,8621,128523,5738,2018-09-23
11,132866,8671,116999,5833,2018-09-24
12,64475,8005,54128,5107,2018-09-25
13,41327,7153,33845,4445,2018-09-26
14,43651,6845,37355,4238,2018-09-27
15,36934,6117,31207,3648,2018-09-28
16,29486,5835,24153,3577,2018-09-29
17,52379,5835,47237,3573,2018-09-30
18,139629,6305,132327,4210,2018-10-01
19,128310,5865,114537,3646,2018-10-02
20,109037,5277,97166,3177,2018-10-03
21,44595,4896,38115,2888,2018-10-04
