0,0,0,0,0,XXXX-XX-XX-to-XXXX-XX-XX
1,200244,92136,null,null,2017-05-05
2,220325,97971,null,null,2017-05-06
3,189074,85105,null,null,2017-05-07
4,132694,60284,null,null,2017-05-08
5,133980,61994,null,null,2017-05-09
6,124327,58622,null,null,2017-05-10
7,118772,61069,null,null,2017-05-11
8,116759,60014,null,null,2017-05-12
9,88435,45125,null,null,2017-05-13
10,80258,44057,null,null,2017-05-14
11,98019,54281,null,null,2017-05-15
12,90323,49908,null,null,2017-05-16
13,85692,48310,null,null,2017-05-17
14,82818,46169,null,null,2017-05-18
15,79313,44671,null,null,2017-05-19
16,81640,46075,null,null,2017-05-20
17,82818,47281,null,null,2017-05-21
18,76613,43394,null,null,2017-05-22
19,71472,40565,null,null,2017-05-23
20,69018,40010,null,null,2017-05-24
21,67480,38312,null,null,2017-05-25
22,65067,37928,null,null,2017-05-26
23,66217,38473,null,null,2017-05-27
24,66787,38951,null,null,2017-05-28
25,63722,36997,null,null,2017-05-29
26,63285,36952,null,null,2017-05-30
27,61834,36088,null,null,2017-05-31
28,61309,36086,null,null,2017-06-01
29,62674,35981,null,null,2017-06-02
30,60585,35168,null,null,2017-06-03
31,62875,36913,null,null,2017-06-04
32,60431,35782,null,null,2017-06-05
33,56696,33291,null,null,2017-06-06
34,55056,32199,null,null,2017-06-07
113,22537,10741,null,null,2017-08-25
114,24787,11752,null,null,2017-08-26
115,8446,3449,null,null,2017-08-27
