0,0,0,0,0," ",0
1,112077,3087,0,0,2024-06-08-to-2024-06-14-partial,34
2,186383,3209,0,0,2024-06-15-to-2024-06-21,51
3,298578,4579,0,0,2024-06-22-to-2024-06-28,67
4,409932,5206,0,0,2024-06-29-to-2024-07-05,99
5,529992,6780,0,0,2024-07-06-to-2024-07-12,122
6,570605,8067,0,0,2024-07-13-to-2024-07-19,146
7,760152,6229,0,0,2024-07-20-to-2024-07-26,151
8,860312,6023,0,0,2024-07-27-to-2024-08-02,152
9,864715,5057,0,0,2024-08-03-to-2024-08-09,152
10,799081,4623,0,0,2024-08-10-to-2024-08-16,152
11,785006,3769,0,0,2024-08-17-to-2024-08-23,152
