0,0,0,0,0,XXXX-XX-XX-to-XXXX-XX-XX
1,2414154,1056209,0,0,2018-02-02-to-2018-02-08
2,1435076,668685,1166416,567104,2018-02-09-to-2018-02-15
3,1073367,528139,863378,435664,2018-02-16-to-2018-02-22
4,900579,467487,727763,384656,2018-02-23-to-2018-03-01
5,701741,379808,542340,299244,2018-03-02-to-2018-03-08
6,559485,324230,426059,250528,2018-03-09-to-2018-03-15
7,476363,270883,362940,205497,2018-03-16-to-2018-03-22
8,429859,255758,329756,197025,2018-03-23-to-2018-03-29
9,156656,90702,87699,50747,2018-03-30-to-2018-04-05
